ticker_id,provider,month,net_flow,total_assets
AAPL,BlackRock,2023-12-01,0.0,1624022338.83
AAPL,BlackRock,2024-01-01,175016729.53,1799039068.36
AAPL,BlackRock,2024-02-01,137758971.25000006,1936798039.61
AAPL,BlackRock,2024-03-01,-716856035.0200001,1219942004.59
AAPL,BlackRock,2024-04-01,829889385.16,2049831389.75
AAPL,BlackRock,2024-05-01,136767464.26,2186598854.01
AAPL,BlackRock,2024-06-01,43329862.50000003,2229928716.51
AAPL,BlackRock,2024-07-01,-89412322.95999998,2140516393.55
AAPL,BlackRock,2024-08-01,-557979972.51,1582536421.04
AAPL,BlackRock,2024-09-01,569677758.9000001,2152214179.94
AAPL,BlackRock,2024-10-01,875332673.21,3027546853.15
AAPL,BlackRock,2024-11-01,-173636784.43999997,2853910068.71
AAPL,BlackRock,2024-12-01,222619114.23,3076529182.94
AAPL,Charles Schwab,2023-12-01,0.0,1896374295.64
AAPL,Charles Schwab,2024-01-01,492583454.8,2388957750.44
AAPL,Charles Schwab,2024-02-01,-1524869931.4099998,864087819.03
AAPL,Charles Schwab,2024-03-01,-330749475.72,533338343.31
AAPL,Charles Schwab,2024-04-01,-627671577.01,-94333233.7
AAPL,Charles Schwab,2024-05-01,1001222873.13,906889639.43
AAPL,Charles Schwab,2024-06-01,791002313.99,1697891953.42
AAPL,Charles Schwab,2024-07-01,330793039.81,2028684993.23
AAPL,Charles Schwab,2024-08-01,-151694203.17999995,1876990790.05
AAPL,Charles Schwab,2024-09-01,283820835.99,2160811626.04
AAPL,Charles Schwab,2024-10-01,-1162487263.06,998324362.98
AAPL,Charles Schwab,2024-11-01,-733514954.4399999,264809408.54
AAPL,Charles Schwab,2024-12-01,-256988220.52999997,7821188.01
AAPL,Vanguard,2023-12-01,0.0,1450979880.7
AAPL,Vanguard,2024-01-01,-1238423873.99,212556006.71
AAPL,Vanguard,2024-02-01,-476097998.28999996,-263541991.58
AAPL,Vanguard,2024-03-01,2137517839.49,1873975847.91
AAPL,Vanguard,2024-04-01,-306519319.19000006,1567456528.72
AAPL,Vanguard,2024-05-01,1339562850.58,2907019379.3
AAPL,Vanguard,2024-06-01,-801005239.86,2106014139.44
AAPL,Vanguard,2024-07-01,-329817059.06,1776197080.38
AAPL,Vanguard,2024-08-01,-17515529.569999944,1758681550.81
AAPL,Vanguard,2024-09-01,442622023.89,2201303574.7
AAPL,Vanguard,2024-10-01,-215759604.65999994,1985543970.04
AAPL,Vanguard,2024-11-01,227358462.37999994,2212902432.42
AAPL,Vanguard,2024-12-01,-1174766011.75,1038136420.67
ABBV,BlackRock,2023-12-01,0.0,1175378124.74
ABBV,BlackRock,2024-01-01,350290227.95000005,1525668352.69
ABBV,BlackRock,2024-02-01,846070406.1600001,2371738758.85
ABBV,BlackRock,2024-03-01,-78594156.16999999,2293144602.68
ABBV,BlackRock,2024-04-01,-1327736526.81,965408075.87
ABBV,BlackRock,2024-05-01,-74891044.16999994,890517031.7
ABBV,BlackRock,2024-06-01,1564774230.13,2455291261.83
ABBV,BlackRock,2024-07-01,-540523399.55,1914767862.28
ABBV,BlackRock,2024-08-01,-2089726084.26,-174958221.98
ABBV,BlackRock,2024-09-01,-1044070166.87,-1219028388.85
ABBV,BlackRock,2024-10-01,-543076500.04,-1762104888.89
ABBV,BlackRock,2024-11-01,908612991.1299999,-853491897.76
ABBV,BlackRock,2024-12-01,-104891863.81999996,-958383761.58
ABT,BlackRock,2023-12-01,0.0,1773587463.07
ABT,BlackRock,2024-01-01,366336559.76,2139924022.83
ABT,BlackRock,2024-02-01,123619267.23,2263543290.06
